,phrase,confidence,predict_template
0,Машинист поезда 7 на приближении к станции Бабынино.,0.9751276496531633,Машинист поезда <Число> на приближении к станции <Название>.
1,"Привет, я машинист локомотива номер 131 на приближении к станции Москва, как дела?.",0.8175694993130377,Машинист поезда <Число> на приближении к станции <Название>.
2,"Да, аллё, машинист состава 35 на подходе к станции Калуга-1, что у вас случилось?",0.6684621307833676,Машинист поезда <Число> на приближении к станции <Название>.
3,Я машинист поезда  номер 9 Спиридонов на приближении к станции  двигаюсь с неисправными тормозными системами.,0.9454946434925294,Я машинист поезда  <Число> <ФАМИЛИЯ> на приближении к станции Следую с неисправными устройствами безопасности.
4,"Да, здравствуйте, я машинист локомотива  64 Николаев на подходе к Москве  иду с неисправными системами.",0.7485757111042304,Я машинист поезда  <Число> <ФАМИЛИЯ> на приближении к станции Следую с неисправными устройствами безопасности.
5,Пропускаетесь по 22-му боковому без остановки ДСП 1 Панков.,0.8864420406759301,Пропускаетесь по <Число> боковому без остановки (или напроход) ДСП <ФАМИЛИЯ>.
6,"Да, понял Вас, по 13-му иду фронтальному иду напроход, пульт первый Ларин.",0.545158359333166,Понятно по <Число> боковому без остановки (или напроход) машинист <ФАМИЛИЯ>
7,"Аллё, да, машинист локомотива номер 131 на подъезде к Питеру. Что у вас?.",0.6411323026604675,Машинист поезда <Число> на приближении к станции <Название>.
8,"Слушаю тебя машинист локомотива 55 Владимиров, иду с отказавшими системами контроля давления.",0.7205697135062014,Слушаю Вас машинист поезда <Число> <ФАМИЛИЯ>.
9,"Дежурный по станции Бабынино, Никитин, слушаю Вас.",0.8910628083914965,Дежурный по станции <ФАМИЛИЯ> слушаю.
